epoch,Alessandro-cleaned-data_val_dice,Alessandro-cleaned-data_val_loss,Alessandro-cleaned-data_val_precision,Alessandro-cleaned-data_val_recall,Alessandro-cleaned-data_val_sparse_categorical_accuracy,Antoine-cleaned-data_val_dice,Antoine-cleaned-data_val_loss,Antoine-cleaned-data_val_precision,Antoine-cleaned-data_val_recall,Antoine-cleaned-data_val_sparse_categorical_accuracy,Kornum-cleaned-data_v2_val_dice,Kornum-cleaned-data_v2_val_loss,Kornum-cleaned-data_v2_val_precision,Kornum-cleaned-data_v2_val_recall,Kornum-cleaned-data_v2_val_sparse_categorical_accuracy,Maiken-cleaned-data_val_dice,Maiken-cleaned-data_val_loss,Maiken-cleaned-data_val_precision,Maiken-cleaned-data_val_recall,Maiken-cleaned-data_val_sparse_categorical_accuracy,Sebastian-cleaned-data_val_dice,Sebastian-cleaned-data_val_loss,Sebastian-cleaned-data_val_precision,Sebastian-cleaned-data_val_recall,Sebastian-cleaned-data_val_sparse_categorical_accuracy,epoch_minutes,loss,sparse_categorical_accuracy,train_hours,val_dice,val_loss,val_precision,val_recall,val_sparse_categorical_accuracy
27,0.8058,0.4778,0.7653,0.8906,0.8663,0.6259,0.643,0.6212,0.7287,0.7115,0.7838,0.6364,0.7572,0.8425,0.7427,0.7571,0.5253,0.7524,0.7796,0.7991,0.7561,0.5113,0.7283,0.8109,0.8151,0.9589,0.6763355135917664,0.7506683468818665,0.5431,0.7457,0.5588,0.7249,0.8105,0.7869
28,0.8108,0.4675,0.7703,0.8929,0.8705,0.6709,0.5854,0.6539,0.7523,0.7581,0.7841,0.6451,0.7571,0.8442,0.7342,0.7561,0.5246,0.753,0.778,0.798,0.7571,0.5089,0.7327,0.7978,0.8145,0.8607,0.6708016991615295,0.7526593804359436,0.5577,0.7558,0.5463,0.7334,0.813,0.7951
29,0.8107,0.4694,0.771,0.8913,0.8678,0.6338,0.6267,0.6269,0.7229,0.7256,0.7478,0.6433,0.7314,0.7798,0.7425,0.7637,0.5126,0.7615,0.7814,0.8056,0.7504,0.4904,0.7237,0.8126,0.821,0.9302,0.666456401348114,0.7542354464530945,0.5733,0.7413,0.5485,0.7229,0.7976,0.7925
30,0.8152,0.4586,0.7751,0.8939,0.8718,0.6855,0.5783,0.6642,0.7715,0.7628,0.7531,0.6367,0.7339,0.7916,0.7444,0.7641,0.513,0.7628,0.7824,0.8054,0.7518,0.4852,0.7254,0.8191,0.8228,0.955,0.6670656204223633,0.7547820806503296,0.5894,0.7539,0.5344,0.7323,0.8117,0.8014
31,0.8127,0.4587,0.7721,0.8948,0.8708,0.6637,0.5957,0.6467,0.7379,0.7524,0.7939,0.6347,0.7685,0.8394,0.742,0.7651,0.5093,0.7603,0.7856,0.808,0.7464,0.4896,0.72,0.8118,0.8184,0.9335,0.662982702255249,0.7558913230895996,0.6052,0.7564,0.5376,0.7335,0.8139,0.7983
32,0.8174,0.4496,0.7771,0.8965,0.8738,0.6822,0.5696,0.6613,0.747,0.7684,0.7585,0.6392,0.7378,0.8005,0.7437,0.7668,0.508,0.7639,0.7862,0.809,0.7484,0.4851,0.722,0.813,0.8202,0.9494,0.6590920686721802,0.7584149837493896,0.6211,0.7547,0.5303,0.7324,0.8086,0.803
33,0.8152,0.4489,0.7745,0.8971,0.8735,0.6958,0.5577,0.6737,0.7778,0.7768,0.7953,0.6259,0.7673,0.857,0.749,0.7655,0.507,0.7596,0.7871,0.8097,0.7482,0.4831,0.722,0.8151,0.8216,0.9483,0.6549489498138428,0.7613915801048279,0.6371,0.764,0.5245,0.7394,0.8268,0.8061
34,0.8211,0.4396,0.7808,0.8986,0.8774,0.6489,0.6004,0.6385,0.7429,0.7364,0.7988,0.6003,0.7711,0.8558,0.7575,0.7673,0.5059,0.7636,0.7871,0.8105,0.7511,0.4802,0.7247,0.8222,0.8226,0.9305,0.6625879406929016,0.7572119832038879,0.6528,0.7574,0.5253,0.7357,0.8213,0.8009
35,0.8238,0.4356,0.7839,0.8988,0.8787,0.6492,0.5985,0.6408,0.7508,0.7361,0.7564,0.6451,0.7443,0.7761,0.7418,0.7683,0.5041,0.7654,0.787,0.8123,0.752,0.4771,0.7255,0.8166,0.8241,0.9224,0.656088650226593,0.7599611282348633,0.6683,0.7499,0.5321,0.732,0.8059,0.7986
36,0.8257,0.4297,0.7858,0.9004,0.8803,0.651,0.594,0.6405,0.7479,0.7379,0.7922,0.5994,0.7659,0.8466,0.7592,0.7704,0.5013,0.7672,0.7891,0.8136,0.7621,0.4905,0.7347,0.8113,0.8174,0.9404,0.653692901134491,0.7609387040138245,0.6842,0.7603,0.523,0.7388,0.8191,0.8017
